wall_time,split,epoch,step,lr,total,pep_coord,mhc_coord,torsion,plddt,pep_plddt,pep_ca_rmsd,mhc_ca_rmsd
1782095009.9309597,train,32,1650,0.000133068837836303,0.36550626158714294,0.268414169549942,0.25629889965057373,0.06579192727804184,0.0012141691986471415,0.0065802354365587234,,
1782095019.3824575,train,32,1700,0.00013305938223385287,0.2223874181509018,0.1431812047958374,0.1849755495786667,0.0657695084810257,0.0007755630067549646,0.006408249493688345,,
1782095028.8662972,train,32,1750,0.00013304992629954392,0.20384849607944489,0.12300745397806168,0.19316305220127106,0.06493514031171799,0.000826968636829406,0.004454686306416988,,
1782095038.2556539,train,32,1800,0.00013304047003347114,0.2860614061355591,0.16801467537879944,0.3469497859477997,0.0623629204928875,0.001278261304832995,0.00624946691095829,,
1782095047.7210333,train,32,1850,0.00013303101343572956,0.1679939180612564,0.09681758284568787,0.1611918956041336,0.06151263415813446,0.0012205953244119883,0.00573296332731843,,
1782095057.0896928,train,32,1900,0.0001330215565064141,0.295535147190094,0.19574716687202454,0.2626468241214752,0.06799780577421188,0.0012737024808302522,0.005678872112184763,,
1782095066.4788353,train,32,1950,0.00013301209924561979,0.22477222979068756,0.12409254163503647,0.25801724195480347,0.07205688208341599,0.0014694046694785357,0.007127756252884865,,
1782095075.989973,train,32,2000,0.00013300264165344152,0.523949146270752,0.3917030990123749,0.40413805842399597,0.062195949256420135,0.0011354965390637517,0.008051792159676552,,
1782095085.4170384,train,32,2050,0.00013299318372997414,0.25652238726615906,0.15698830783367157,0.26639536023139954,0.0655888020992279,0.0014083043206483126,0.0068280682899057865,,
1782095094.9137886,train,32,2100,0.0001329837254753126,0.28332453966140747,0.19035975635051727,0.2464289516210556,0.06253346055746078,0.0009085115161724389,0.0056666224263608456,,
1782095104.247843,train,32,2150,0.0001329742668895518,0.2797427177429199,0.17439118027687073,0.282682329416275,0.0691412016749382,0.001103599090129137,0.006747778970748186,,
1782095113.620069,train,32,2200,0.00013296480797278678,0.23023368418216705,0.11728229373693466,0.3016338050365448,0.07465963810682297,0.002131184097379446,0.007271270267665386,,
1782095123.0619638,train,32,2250,0.00013295534872511232,0.2604260742664337,0.17020028829574585,0.22681257128715515,0.0667857751250267,0.001297599053941667,0.004830129444599152,,
1782095132.54251,train,32,2300,0.0001329458891466236,0.2540229856967926,0.17149120569229126,0.19694721698760986,0.06636880338191986,0.0011055278591811657,0.007214238401502371,,
1782095141.912152,train,32,2350,0.00013293642923741547,0.237952321767807,0.14194996654987335,0.24497920274734497,0.06918522715568542,0.0016493859002366662,0.00902679841965437,,
1782095151.2993312,train,32,2400,0.00013292696899758286,0.3200736939907074,0.20061548054218292,0.3322904109954834,0.07250736653804779,0.0013192860642448068,0.008256538771092892,,
1782095160.7356336,train,32,2450,0.00013291750842722087,0.31190308928489685,0.22134506702423096,0.2344064712524414,0.06362345069646835,0.0014468628214672208,0.008314110338687897,,
1782095170.1154444,train,32,2500,0.00013290804752642425,0.38107600808143616,0.24496980011463165,0.40299639105796814,0.07046081125736237,0.0012672233860939741,0.008136095479130745,,
1782095179.4933267,train,32,2550,0.00013289858629528817,0.24290557205677032,0.14488939940929413,0.2570236921310425,0.06715168803930283,0.001844031736254692,0.008005591109395027,,
1782095188.9031343,train,32,2600,0.00013288912473390752,0.2574778199195862,0.15416307747364044,0.2752666175365448,0.06870093196630478,0.0014762765495106578,0.010198078118264675,,
1782095198.2173524,train,32,2650,0.00013287966284237729,0.15592604875564575,0.07082684338092804,0.20235934853553772,0.06866778433322906,0.0017547347815707326,0.00843735784292221,,
1782095207.5980377,train,32,2700,0.0001328702006207925,0.27959808707237244,0.17111992835998535,0.30743369460105896,0.06293533742427826,0.0015206235693767667,0.006653964053839445,,
1782095217.0549562,train,32,2750,0.00013286073806924808,0.24928449094295502,0.16060762107372284,0.21534644067287445,0.06938453763723373,0.0014798574848100543,0.007758766412734985,,
1782095226.479722,train,32,2800,0.00013285127518783903,0.4623797535896301,0.33109331130981445,0.40786075592041016,0.058347754180431366,0.0014738267054781318,0.005968672689050436,,
